excel_row,task_key,topic_relevance,stance_expression,stance_direction,stance_change,is_usable,training_grade,annotation_reason,confidence,matched_topic_terms,annotation_status
893,696daa4d88de775002269f0a8e0c173465edbf6df9e0216c51d996089cc0280b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question or the post's claim about ACA subsidies.,high,,completed_relaxed_ai_annotation
894,289969cd4f2a0be96cf5142b908b88d6a1a5503e667a82ecab717344556f4424,strongly_relevant,explicit_stance,participant_disagreement,insufficient_evidence,yes,core_usable,"Thread discusses the ACA as a government program, directly addressing the topic. Ken Moose implies the issue is with insurance companies, opposing the post's claim. Robert Hessman affirms the ACA is government business, supporting the post's claim. Disagreement between participants.",medium,ACA,completed_relaxed_ai_annotation
895,fcee51fce385f4727b5f6a00eb416997147d46a7e72b448eaa3a9aa10b1798d6,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic insult with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
896,d6d8aaa3069efbcd8021a02a31c0671031fa933134cb13b1a77d08d0cf82ae8a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it only contains a political endorsement without addressing the policy question about health-insurance subsidies.,high,,completed_relaxed_ai_annotation
900,b2d72921d41707356349d1edf33d09ac9e90d58f017216add515d7c5620b67f0,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The thread is relevant to the topic of health insurance subsidies due to the context of the post, but the conversation text does not contain direct terms related to the topic. The stance is implicit in the rhetorical question and sarcasm.",medium,indirect_relevance:health insurance subsidies,completed_relaxed_ai_annotation
901,118456ed65f29b4ca55b6c50f9a29e53c5a563c64feb73970f18526ee5e7ae73,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,The comment is relevant as it discusses ACA subsidies but does not contain the exact terms from the retrieval keyword. It expresses an implicit stance opposing the post's claim by blaming the Democratic Party for the expiration of subsidies.,medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
902,446f74992e1b49d5d90b99950b790aa6a27c131546e2e960c5211a85be3b0caf,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,borderline_sample,"Comment mentions ACA but frames it as 'Obamacare was never affordable', indirectly relevant to subsidy topic. No explicit stance on extending subsidies, but implies opposition to ACA. Brief and lacks policy reasoning.",medium,Obamacare | ACA,completed_relaxed_ai_annotation
903,8e63c5e9fc28cd9c069180ab0c2c6633987444ea1651eec3e2c90f6da30e18a4,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment discusses the ACA and subsidies, which are relevant to the topic, but does not mention health-insurance premium subsidies directly.",medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
904,e576c0cf554551d408407a8b67e921124091cd191b374854262e8f7c70baf614,relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant as it discusses subsidies and healthcare, but no direct subsidy term is in the comment text.",medium,indirect_relevance:healthcare subsidies,completed_relaxed_ai_annotation
905,cc4050e2e1393cd3ddd0077bfda77b5402545ce9224f3c616dfba2628b7d2c04,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,The comment is relevant to the topic of ACA subsidies but does not contain direct terms from the topic. It implies opposition to subsidies by referencing their expiration and Democratic policies.,medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
906,8a8a5f35e588f6f5b21831f4fa8e2f7f2c66c37fb57c19ed5032e14cd25253d5,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Thread discusses ACA and healthcare policy, with explicit stance on ACA's implementation and political responsibility.",medium,ACA,completed_relaxed_ai_annotation
907,147b52810bdcf37bc2812d3123d662a8725c3b6f0e2bc4b22a0b22c0c9d5688c,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
908,4ce9cf060c165cd04ffd14aefffc93d3cba4c1dcd97e38ed51c0956030ca00b3,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance on the policy question.,high,,completed_relaxed_ai_annotation
909,da4e595eada1cd43aade9ade308124f3aa043b47d8c18be915da5bc827515527,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment mentions 'Obamacare' and implies it should have solved the problem, suggesting opposition to the post's claim about subsidies expiring.",medium,Obamacare,completed_relaxed_ai_annotation
910,ca72294db84cb3e5536a07666a7810430b21c3650af3f0f74840f1bac3f3ad28,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Comment discusses ACA's impact on premiums and coverage, opposing its expansion. Stance is explicit and relevant.",high,Affordable Care Act,completed_relaxed_ai_annotation
911,8e981efef04c8b220c311543af44024d49b032280be511809c9cff0321cf0a9c,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment discusses subsidies expiring and healthcare costs, relevant to topic. Explicit stance opposing subsidies. Short but clear policy attitude.",medium,subsidies | healthcare | costs,completed_relaxed_ai_annotation
912,fefd9ad9349a883a922c778a95159f07539e022440f125be4d86bfe0687e0aa2,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it contains only a single word 'Lies' with no connection to the topic or post claim.,low,,completed_relaxed_ai_annotation
913,d179abda5b99960d5f2ac2160cd18b71984baee93b0ca43b64b785e2a147ad9e,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"Comment mentions 'subsidies' and 'Covid' in context of ACA, but relevance is indirect. No explicit stance on expansion.",medium,indirect_relevance:subsidies,completed_relaxed_ai_annotation
914,7c38b79620c6907205521efed7442837ffc2e513dfa9c606271a4c54d3a38d9e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no policy attitude or stance.,high,,completed_relaxed_ai_annotation
915,a9870b30d82dd3d79b0d281fce247620ab6b36d1fac770430f621c4e4dc0fada,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on the policy question.,high,,completed_relaxed_ai_annotation
916,3e4dfd3ff77da50e52d3f4b08ab4c999360885f799fe6132397172a4502fae3e,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment discusses a different policy (horse racing funds) and does not mention health insurance subsidies or related terms from the post.,high,,completed_relaxed_ai_annotation
917,015b0f5a92fa3fe3b2c0410655267aa80c6dcaef3ef05674356ede56d08aee1b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment calls for a fact check but does not address the topic of extending or expanding health-insurance premium subsidies directly.,medium,,completed_relaxed_ai_annotation
918,d269cd4e093aa6c4c152d003a891ead90c916d9b908dcc74e326e74ace71d113,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it contains only a non-text marker with no policy attitude or connection to the topic.,high,,completed_relaxed_ai_annotation
919,7e15d695827f0c271e440ea57425e5a0accbf253e0fa2fd9eca50e5cbc28ac34,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text placeholder (GIPHY) with no policy attitude or stance on the topic.,high,,completed_relaxed_ai_annotation
920,d07372746feced403d9da25e4c6d9931c86682dc2b26b3344037b917f05ed09d,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment mentions 160k jobs added by Josh Shapiro but does not address health-insurance subsidies or the post's claim.,medium,,completed_relaxed_ai_annotation
921,22afe6258449615355ef65af327ba94e23cd10ba36ddfbeeaa6a8470593fcd46,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it questions the legal status of individuals rather than addressing the policy question of extending or expanding subsidies.,high,,completed_relaxed_ai_annotation
922,af7e3f698e594034f66880c75878dd881941844210bbaafe4b54ed8be148eb3e,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant to the topic of health insurance subsidies, expresses an explicit stance opposing expansion, and is usable as a short but clear policy attitude.",high,health insurance,completed_relaxed_ai_annotation
923,21de3a95cfd9de3b0b89155e5492f66197d98c4073738b61b501b236c9f58801,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on health-insurance subsidies.,high,,completed_relaxed_ai_annotation
924,b03866f5ae66685297ba8a34b66777ebbc8fcfae79d292bb9ca7412869d5cbfe,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no policy attitude; irrelevant to the topic of health-insurance premium subsidies.,high,,completed_relaxed_ai_annotation
925,8fcd3c1db296baa4079408e51d90c365dab8c78b13c6503ec2569a93a675886a,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is a non-text GIPHY and provides no policy attitude or stance.,high,,completed_relaxed_ai_annotation
927,1fcccbfba3286bf5c85d8b3cce4c66ae3d4f67f01ff3be962aca6fa66a22e8dd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on health-insurance subsidies.,high,,completed_relaxed_ai_annotation
929,f6f00e219e4100d086778c5d929d2775f9523d344e2e6500a3dad3b0596abe56,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Strongly relevant to ACA subsidies, explicit stance opposing subsidies, and brief but clear policy attitude.",high,ACA | tax dollars | subsidize ACA,completed_relaxed_ai_annotation
930,76f85bd3c4fca45059114c49f3e2cce03dd78dfac3cdf6877a7f060c2da83efd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question or the post's claim about ACA subsidies.,high,,completed_relaxed_ai_annotation
931,94342beb298c6734ada375ae09a0458f188fcc29deb377c70329d99b0a5172db,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,borderline_sample,"Thread discusses ACA subsidies and their expiration, directly addressing the topic. Explicit stance is present with opposing views. The grade is borderline due to brevity and minimal reasoning.",medium,ACA subsidies,completed_relaxed_ai_annotation
932,6aed7db280bfaa1bcdbef479c01f4d8fa762d5043ee8ad69fd2e3a4cedd546a6,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Thread discusses health insurance rates and policy changes, with implicit stance on subsidies. Contains relevant terms and usable policy discussion.",medium,health insurance | insurance rates,completed_relaxed_ai_annotation
933,da5046c4cede3651012545d9c0636d19e7ee0c5898f2a1b2d2353f381721d1be,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Thread discusses subsidies and ACA, directly relevant. Explicit stance against subsidies as 'taxes'. Clear usable argument.",high,subsidies | ACA,completed_relaxed_ai_annotation
934,0544e263a3e66af162693b0dfed5bd5d7316a38e7556c06b752fab81820e2281,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question of extending or expanding health-insurance subsidies. It challenges a statistic but does not express a stance on the topic.,high,,completed_relaxed_ai_annotation
935,cbcb15dc8f30f5e907a1f54c64c6c7304ff1b2ee64afc1d81d721a4086728282,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Thread discusses ACA subsidies, their expiration, and economic impact, directly addressing the topic. Both participants express explicit stances. The exchange is relevant and usable.",high,ACA subsidies | subsidies,completed_relaxed_ai_annotation
938,f484eea1b9adca00204fbf7e77945cd1644b66a290bb3ebf07d54502e43f3840,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, attacking non-workers rather than addressing premium subsidies or the post's claim.",high,,completed_relaxed_ai_annotation
939,f2be4beaa42f6d68408ae5b0d58438ce5cc4766a7dc9854b362cbc23145bf983,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,borderline_sample,"The comment is relevant to the topic of health insurance subsidies but does not directly mention the keywords 'ACA subsidies' or 'health insurance subsidies'. The stance is implicit, as the user criticizes the affordability of health insurance and subsidies. The thread is usable as a borderline sample due to its indirect relevance and implicit stance.",medium,indirect_relevance:health insurance subsidies,completed_relaxed_ai_annotation
940,3cdb4a9e1691fb9c1f797a94d3209efc2f2e1facd2a7bfd94a2b1e65c7680386,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not mention health insurance subsidies or related terms and instead attacks the poster and promotes a political candidate.,high,,completed_relaxed_ai_annotation
942,583094bccb8b31cc1e42ab29dffbc4af1a4b74acb3f7de34ca6dcbba18d593fd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on the policy question.,high,,completed_relaxed_ai_annotation
943,4b24ab03f8da78eaad361599a976aab2977819c8b0015d72adda07a497f3c325,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic insult with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
944,9316db4ac64a0f571929712e995d7f40b00f30a63b0aafd8831a4704ec6a38a6,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,Strongly relevant to ACA subsidies and health insurance costs. Explicit stance opposing subsidies and the ACA. Usable with core reasoning and policy judgment.,high,ACA | subsidies | health insurance,completed_relaxed_ai_annotation
945,3949c3a4d69ce0e42450505504f188696c8ee9bf118e4d5ac8d22999c9d3ddd9,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic comment with no stance on health-insurance subsidies.,high,,completed_relaxed_ai_annotation
947,eec0b591c8c2b3a88329bd9b6c5b0629d9b2526d0dc0f738290d675404a45411,relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment mentions 'Obamacare' and criticizes it as a 'bailout' and 'failed ideas', indirectly relevant to health insurance subsidies.",medium,indirect_relevance:Obamacare,completed_relaxed_ai_annotation
948,d205645ba7eb201136a08e6850603a6fe144003ee7afa1896a8bc66d5a88b2a7,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,The comment discusses rising premiums and subsidies but does not mention 'health-insurance premium subsidies' or 'ACA subsidies' directly.,medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
949,9f6de0cca5a1f5d5089fcc8e374fe369144ea4023ae2a21e9cd66a9c1a7172cd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address the policy question or the post's claim about extending subsidies. It contains no stance or relevant terms.,high,,completed_relaxed_ai_annotation
950,a5ec4e2726c6c820753178c4bffaaffd0b0f6b535ce82fd6c6e8e70414dbe6dc,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic attack with no policy attitude on subsidies or health insurance.,high,,completed_relaxed_ai_annotation
951,24d846038fec0525df076ade390e48b40dbb47a997c1586d1f8995f159f17571,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic insult with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
952,34144f95677059ae36a6dd5252132f8829d4803542bf80f2b9e0cbda16823755,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, attacking the poster's behavior rather than addressing the policy question about health-insurance subsidies.",high,,completed_relaxed_ai_annotation
953,b11f78297abed6d93f56bde8f583fe67048bd2e50135fde6e072c91f4365f9d9,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,Comment is relevant to policy discussion but does not express a stance on the topic of expanding subsidies.,medium,agenda to fix everything,completed_relaxed_ai_annotation
954,94c147f8ed24b674bb2662dbe48dcfbc2d62c595e3c1f51c167dd0981e7b475c,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant to the topic of health insurance subsidies, explicitly opposes their extension, and is a short but clear policy attitude.",high,insurance should have never been subsidized,completed_relaxed_ai_annotation
955,fe9a5d301417c525c0f106e3f1dd908a8f50395891e472f1f981c9509364e376,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"The comment is off-topic as it does not mention health insurance subsidies, ACA, or related terms. It lacks a clear stance on the topic.",high,,completed_relaxed_ai_annotation
956,8bca560d7078f210850d855d8e1bf95c98f17372cf262fcad562210ae867ba34,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment mentions 'extension of the temporary COVID Subsidies expired' and 'supporting Democrats to complain about eliminating abuses', which are relevant to the topic of health-insurance subsidies. The stance is implicit, as the comment implies opposition to extending subsidies. The thread is usable as a generally_usable sample due to its relevance and implicit stance.",medium,extension of the temporary COVID Subsidies expired,completed_relaxed_ai_annotation
957,d5501dde27c3e3f063fceee8a26b456d974b01e912824406771ded78aab49528,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and irrelevant to health-insurance subsidies or the post's claim.,high,,completed_relaxed_ai_annotation
958,df1a8dd48d0f6b98e2b5a23eca17269436929f4f7ea82d5c48c37b0397c12478,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment directly addresses ACA as a failure, aligning with the topic. It is short but clearly expresses an explicit stance.",high,ACA,completed_relaxed_ai_annotation
959,14fc94b05bf3918cf7b70bdd05450fc7ffd0b07e69d88fa7f81c11bdd727e819,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and irrelevant to health-insurance subsidies or the post's claim.,high,,completed_relaxed_ai_annotation
960,22c6b968dd9977666845f8196c6edfadc6e9873e4c5f578d1343f193d1a143c9,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, attacking political actors without addressing the policy question of subsidy extension.",high,,completed_relaxed_ai_annotation
961,27f88bc90a014b836b0190cea5f4501bc27231b3d8af53fc3af0260e9f86ba10,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Strongly relevant to ACA subsidies, explicit stance opposing the policy, and usable as a core sample with clear reasoning.",high,ACA,completed_relaxed_ai_annotation
962,83db5fb473c4ac23736d59c3faad8b7bf70cdf47dfc2633d12f9159eead58b90,relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant as it discusses health care and taxes, but it does not directly mention subsidies, ACA, or premium terms. The stance is explicit and opposes the post's claim.",medium,indirect_relevance:health care,completed_relaxed_ai_annotation
963,e51e055c8316a4d4b173ff48874f968709b421de0405bce68b056f5e6088eef5,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks stance; criticizes users of the system without addressing subsidies or the post's claim.,high,,completed_relaxed_ai_annotation
964,b5b4ed352b2d73ac82f05d77fec2d99b674eb6d6f4fd12c13eafeef79c270a55,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,The comment is relevant to the topic of health insurance subsidies but does not contain a direct match for the required terms. It expresses an implicit stance opposing expansion.,medium,indirect_relevance:health insurance subsidies,completed_relaxed_ai_annotation
965,10dc0c35d026803a90267ddbeab63f29a7b7723c192ba82cfe36ab04150c04de,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic attack on a person without policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
966,cccfc7b245c663847ea13874015e59213012aaa583845ba9f086317ac0fc733b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it attacks the poster and does not address the policy question of extending health-insurance subsidies.,high,,completed_relaxed_ai_annotation
967,69f186be7534d8e9a34017d1aecc72345ddc978bfed8f2e1602067c41990aafb,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a clear stance on the policy question.,high,,completed_relaxed_ai_annotation
968,64fefa9d5093fc0b32f8eeaa414da3cf2e6ec746b7f10b1f6547df220f8b5b4f,relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,borderline_sample,"The comment is relevant as it discusses political alignment with health policy, but it lacks direct mention of subsidies or premiums. It expresses an implicit stance against Republican policies.",medium,indirect_relevance:health policy,completed_relaxed_ai_annotation
969,08bd0fd0f322554a61edee23a4f341114027042799b9ddadc0024e93ae2f11a4,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
970,efb27d11fceb235ddf600e52c2d6bdc982318503772eee29c7f3b55a2e294079,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Comment discusses ACA's impact on healthcare access and affordability, opposing its effects. Explicit stance with clear policy judgment.",medium,Obamacare,completed_relaxed_ai_annotation
971,a3defe48a2677db17cbd0d54ca58d6f730b27b275cc10077af416ec67862b8c1,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"The comment is relevant to the topic of ACA subsidies and expresses an explicit stance opposing them, but no direct term from the post or topic is present in the comment.",medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
972,31bb9adafeddf981afd05d5ab14ef1e7bb631ec9547eb07abe780d79e3712eb9,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks a stance as it does not address the policy question or the post's claim directly.,high,,completed_relaxed_ai_annotation
973,6665bfbdc2e6aac99681785cf80cf03d50b6ab3044ed1114fef7238ed25bf7a2,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Off-topic personal attack with no policy attitude or stance on subsidies.,high,,completed_relaxed_ai_annotation
974,21cf3a8c2923c4bca33a22e40c6bc0817c7f0520c32a95f30acebb83a7c93c3f,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, attacking truthfulness of a candidate without addressing health-insurance subsidies or the post's claim.",high,,completed_relaxed_ai_annotation
975,4572154fb2af4294bc41015cc791d7f8f3420d4ad689667049f28b3633875748,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and contains no stance on health-insurance subsidies.,high,,completed_relaxed_ai_annotation
976,0e41e7f67470a5b89fd4414980792c714be331c4844a3c25d95fcfee98a6717d,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Strongly relevant to ACA subsidies, explicit stance opposing subsidies with reasoning.",high,subsides their insurance,completed_relaxed_ai_annotation
977,0c8682d1c63cf6fc24d1800fb54e71177a2cf721fb2c8b11ec016357704624f7,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,"Comment discusses ACA subsidies and their expiration, directly addressing the topic. Explicit stance opposing the post's claim by blaming Democrats and calling for action.",high,ACA subsidies,completed_relaxed_ai_annotation
978,5850b152d566008215f6b46ed300b939d7d77a26411c67941807bf704e765846,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment mentions ACA subsidies and health insurance costs, but no direct terms match the retrieval keywords. Stance is implicit in criticism of rising costs.",medium,indirect_relevance:ACA subsidies,completed_relaxed_ai_annotation
979,3d68aa47a8c0134ff0ff50c132939d6945a7ee1d6506c00316378150a2f1b6e2,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it attacks the poster and mentions no health-insurance subsidies or related policy terms.,high,,completed_relaxed_ai_annotation
980,693a7f206fd02808c44a1d67cbbf64911e250f20b0507225c6a3093e4b90bff3,strongly_relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant to the topic of health insurance subsidies by addressing the ACA and its effects, but it does not explicitly or implicitly express a stance on whether subsidies should be extended or expanded.",medium,ACA,completed_relaxed_ai_annotation
983,8ed2a12dd019a3ffcca42ef079da749ea40c94c58dccc4ab6093406481857e46,strongly_relevant,explicit_stance,opposes_post_claim,no_evidence_of_change,yes,core_usable,Strongly relevant to health insurance costs and ACA subsidies; explicit stance on the need for help; usable as a core sample with clear reasoning and real-world impact.,high,health care costs | 25k | health insurance,completed_relaxed_ai_annotation
985,0cc0b034873c3df403c9418c0abdfedd5c2856c0522363fa2d471f67f8895c3e,strongly_relevant,implicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,"Comment is relevant by implication to net neutrality and paid prioritization, but no direct terms appear in the comment text.",medium,indirect_relevance:net neutrality,completed_relaxed_ai_annotation
986,252f13a0292aae14ee59eb3dd1979562c5fe66aba5157f16ffd48950ad68df3c,strongly_relevant,explicit_stance,supports_post_claim,insufficient_evidence,yes,core_usable,"Thread discusses Comcast's potential actions post-net neutrality, with an explicit stance on their lobbying and expected behavior.",high,net neutrality,completed_relaxed_ai_annotation
988,e652fd8b59068a93f8f00cdfa9343a8e0ef49b07ae35accc593cb18d87608a24,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic as it does not address net neutrality or the post's core claim about open internet and ID checks.,high,,completed_relaxed_ai_annotation
989,61b6ce07889c36382e90b88b5621d2e4bd737b905de13929b7aa5e231100d16a,relevant,implicit_stance,supports_post_claim,insufficient_evidence,yes,borderline_sample,The comment is relevant to the topic of internet control and user power but does not mention net neutrality or strengthening rules. It expresses an implicit stance on internet governance.,medium,indirect_relevance:open internet,completed_relaxed_ai_annotation
990,0c7d1b1e3d5d465d7ac2763362ccbe532319ad16203c77e07435215b925e96a6,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic as it does not address net neutrality or its restoration/strengthening.,high,,completed_relaxed_ai_annotation
991,72a915d17358d05f579026eb20f45717be5297abb2cdfe142f4bd295924183af,relevant,no_stance,no_stance,insufficient_evidence,yes,relevant_without_stance,"The comment is relevant to the topic of internet regulation, as it discusses digital ID and its implications for future freedoms, but does not express a clear stance on restoring or strengthening net neutrality.",medium,internet ID,completed_relaxed_ai_annotation
992,cd79469808f6bbcb617cd78d30cdb57bd266a8db4453fad9643912f9c75779ce,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,generally_usable,Strongly relevant to open internet and digital ID. Explicitly opposes digital ID. Brief but clear stance.,high,No to digital id,completed_relaxed_ai_annotation
993,ce4c1ca12fd36ad7c13a71b1eb4f080b96baabfbfe01929e3c0de0de871597dd,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address net neutrality or the post's core claim about the open internet.,high,,completed_relaxed_ai_annotation
994,fdfa1ab161d9e4fb4378848dab39f3b1835c998e6ebdc03def7340ef9340e181,strongly_relevant,explicit_stance,opposes_post_claim,insufficient_evidence,yes,core_usable,Strongly relevant to open internet and ID checks; explicit stance against the post's claim.,high,id internet | digital incarceration,completed_relaxed_ai_annotation
995,e3cefe8e28a8a28a9cf2bf1af8627362369209b37444ab3b798901a571221d4b,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,Comment is off-topic and lacks a stance on net neutrality or the open internet.,high,,completed_relaxed_ai_annotation
996,cdd011180127256ae5c683abe12118caf6ab2913d88c01e26ff47ac60c95c4f5,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic as it does not address net neutrality or the post's core claim about the open internet. It lacks a stance and is too brief to be usable.,high,,completed_relaxed_ai_annotation
997,7d2f2bbc2f5b6a4c62f47c6a87bdbb7cab11500d0627536ab35c4cdffbee21b7,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Comment is off-topic, discussing phones rather than net neutrality or open internet policy.",high,,completed_relaxed_ai_annotation
998,a68cd6e41dba0e4bd75e47b1287065274eb94737d91c7556cc1d5c81f827b5f3,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks any stance or policy attitude related to net neutrality.,high,,completed_relaxed_ai_annotation
999,f5cf9965f6952649427335d670210d7a1e5631252ccac3cde762939453b771ad,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,"Thread discusses digital ID systems and corporate control, which is indirectly related to the open internet but not net neutrality. No stance on the topic is expressed.",medium,,completed_relaxed_ai_annotation
1000,7c0dc85468422a2d43d1d575ca87574ef5a50812f2bdeb67e19e95324a7ce980,off_topic,no_stance,no_stance,insufficient_evidence,no,unusable,The comment is off-topic and lacks any stance or policy attitude.,high,,completed_relaxed_ai_annotation
